"TIV of arms exports from United States, 1970-2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 09 December 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
Colombia,3,26,18,55,,,10,8,12,36,4,28,18,49,102,7,6,3,35,109,7,52,15,53,42,35,37,103,84,44,60,265,124,95,,4,27,122,16,147,58,80,77,99,25,55,15,36,3,13,17,2340
Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
Contras (Nicaragua)*,,,,,,,,,,,,,,7,1,,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
Costa Rica,,,,2,,3,,,6,,1,,,,,2,1,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,19
Cote d'Ivoire,,,,,,,,,,5,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,55,,,,,,,,,,,,,22,,20,2,2,,,108
Cyprus,,,,,,,,,,,,,,,,,,,,,8,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,13
Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,35,23,14,,40,0,,14,1,1,1,1,0,,0,,,3,0,1,138
Denmark,28,14,13,,39,89,37,38,137,57,399,432,441,218,59,73,,83,88,84,3,15,22,10,51,26,37,64,65,35,27,33,12,8,136,22,8,85,3,0,,,32,28,28,42,102,52,32,,6,3316
Djibouti,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,5,,1,,,8,,14
Dominican Republic,1,2,7,0,,2,12,,,,9,5,30,,25,0,,,2,,,,,,,,4,,6,,,5,0,8,35,,,,,,,,,,,1,0,,,,,154
DR Congo,,72,,,,89,1,31,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,1,,6,245
Ecuador,5,2,,5,2,5,60,91,22,12,133,6,5,15,39,8,,18,17,2,3,21,,18,4,22,,43,6,,,,0,,,2,,,,1,10,,,,,,,,,,,578
Egypt,,,,,,,56,112,9,339,414,890,1369,985,384,457,1043,1145,306,205,428,835,922,1006,1791,1644,757,882,468,456,819,793,475,345,500,607,472,396,263,82,249,160,177,492,182,592,226,207,194,51,32,24214
El Salvador,9,1,,,9,14,10,8,1,1,6,5,32,11,60,44,5,,,,,21,4,,,4,4,,2,,,,19,10,,,,,,,,,2,,,,,,,4,,285
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,5,,10,,,,,,,18
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,1,11,,,,,,,,,,,,2,2,2,,2,4,29
Ethiopia,67,46,5,5,16,51,108,22,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,10,,,,10,,,376
Fiji,,,,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
