"TIV of arms exports from South Africa, 1970-2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 09 December 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,2
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,1,,,,6
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,1,22,,,0,0,,31
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,5,,,,,,,,,,24
Oman,,,,,,,,,,,,,,,,,,,,,,,,,9,,27,,,,,,,,,,,,,,,,,,,,,,,,,36
Paraguay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Peru,,,,,,,,,,,,,,,,,,,,,,33,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,34
Portugal,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Qatar,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,3,13,,,,,1,,,,,,,,,20
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,1,,,4,,,1,5,4,6,,,,34
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,,5,3,4,,,,6,,3,,,,,27
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,0,1,,,,,,,,6
Singapore,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,11,8,5,5,5,53
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,1
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,2,,,,,,,,,,,18
Sri Lanka,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,11,3,14,,,,8,17,,,,,,,,54
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,7,2,9,,,,,,,,31
UAE,,,,,,,,,,,,,,,,,,,,,,9,54,54,,,1,,,,,,,1,,,13,1,,2,3,2,2,6,11,20,27,14,17,8,4,249
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,,1,2,,,,1,4,,2,,1,1,1,1,1,1,1,19
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,14,,,,,,,,,,,,,,,,,17
United Nations**,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,1,7,7,,,,2,1,,,,,,,,4,15,2,,,,,,48
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,26,55,76,78,68,117,5,,,,,,,8,88,,523
Unknown recipient(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,4,,,,,5
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,24,4,11,11,6,,,,,,,59
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,7,,,,1,,,,,8
Zimbabwe,,2,11,0,2,18,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2,4,12,1,2,18,16,0,,,39,39,1,,,25,25,28,25,0,,54,75,54,11,17,31,7,22,28,21,37,22,48,72,35,192,137,141,103,235,71,183,102,65,58,81,74,69,142,37,2459
