"TIV of arms exports from China, 1970-2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 09 December 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
Iran,,,,,,,,,,,,1,193,219,180,126,516,539,184,60,87,96,103,304,269,54,318,52,68,62,67,78,79,82,78,41,52,45,45,45,60,50,29,9,9,9,,,,,,4212
Iraq,,,,,,,,,,,,,389,587,788,698,755,826,195,25,,,,,,,,,,,,,,,20,,,,,,,,,,,27,27,,,,,4337
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,2,,,,1,,24,,,,,35
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,23,,,32
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,12,,,,,,,10,,,13,,,,7,10,11,,,,,73
Khmer Rouge (Cambodia)*,,2,2,2,2,2,,,,,,,,,,,,,2,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,15,20,21,,,,,,,,,,,,,,,,,,86
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
Laos,,10,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,7,,,,15,15,,1,,2,51,9,,117
Libya,,,,,,,,,,,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,26,,31
Mali,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,4,,,,29
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,8,,,,,17,7,,,,,,,,,,,,,34,,,25,,95
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,6
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,34,34,,,,,,,,,289
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,,,,,5
Mujahedin (Afghanistan)*,,,,,,,,,,,,,,,4,4,10,10,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
Myanmar,,,,,,,,,,,,,,,,,,,,34,217,182,13,323,93,176,118,197,156,116,3,50,9,57,74,23,10,4,13,19,5,277,251,189,63,180,215,119,94,47,,3325
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,14,,,,,66,,66,5,,,52,9,,,3,34,,,,252
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,8,1,,14,,24
Nicaragua,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,4
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,,,,57,22,36,,,,57,328
North Korea,76,101,77,197,225,287,237,50,134,74,243,57,307,79,77,29,224,224,273,160,103,145,11,55,5,50,,,,,,,,,,,,,,,,,,,,,,,,,,3498
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,15,,,,,,,,,,,,,,,,,,18
Pakistan,183,346,489,121,11,76,135,25,297,217,245,207,77,418,289,115,68,422,123,324,325,283,210,697,346,234,114,90,91,72,69,299,286,267,77,78,96,144,250,756,745,599,602,735,469,548,719,644,436,416,543,15424
Peru,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,,,,,,,,1,1,,,,,13,,,,,,27
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,88,,,118
Romania,,29,18,54,109,63,63,63,42,56,42,42,42,36,,,,,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,731
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,,,,,,,,,1,3,,,14
Saudi Arabia,,,,,,,,,,,,,,,,,,225,225,,,,,,,,,,,,,,,,,,,,33,33,,,,,,35,15,35,40,40,40,721
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,20,,,,36
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,10,,,,,,,14
Sierra Leone,,,,27,,,,,,,,,,,,,,18,,,,,,,,,,9,,,,,,,,,9,,,,,2,,,,0,1,,,,,67
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,13
Somalia,,,,,,,,,,,75,75,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,159
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,12
Sri Lanka,,,45,,,,,,,,18,,,,,,4,50,3,4,,137,19,,23,15,52,,28,18,28,22,3,8,18,28,49,48,67,,4,,,,,,,,1,59,,749
Sudan,102,23,69,23,,,,,10,,,106,,,,,,108,,7,,46,6,,,,,54,,,,3,16,97,16,39,25,7,28,6,17,18,29,28,32,35,20,44,32,,,1043
Syria,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,56,15,,,,5,,,,,,,81
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,4
Tanzania,10,46,46,115,7,48,,10,10,11,,108,9,,,,1,,,,,,18,,4,,,,,,,,1,46,,,0,0,,25,,76,113,118,14,20,,2,,,,858
Thailand,,,,,,,,,,,,,,,,13,,125,110,54,2,231,187,,258,258,150,,,,25,,,,,11,11,,,11,,2,18,22,7,1,77,131,52,97,9,1861
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,18
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,16
Tunisia,,,,,,,,18,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,45
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,,7,7,14,14,28,35,35,35,35,35,35,,,,,,,,,298
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,4,,,,234
UAE,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,,,,,,,,,,15,15,15,15,37,46,12,11,180
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,14
United Wa State (Myanmar)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
Unknown recipient(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,107,,,122
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,27,41,54,89,8,51,97,74,100,76,,,,,629
Viet Nam,274,391,358,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1027
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,150
Zambia,,,,,,,,37,31,,,,,13,,,,,,,,,,,,,6,,,,28,,,,,,21,4,2,,,,51,,,,33,33,,,1,258
Zimbabwe,,,,,,,,,,,,,8,2,,10,121,12,,,,18,,,,,,,,,,,,,13,21,21,,,,,,,,,,,,,,,225
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,893,1293,1238,662,511,668,586,230,617,560,949,642,1504,1770,1929,1272,1862,2605,1412,1041,941,1312,700,1436,1103,1008,766,427,350,329,295,513,523,698,411,285,664,510,651,1137,1475,1271,1526,2067,1212,1780,2410,1438,1169,1472,760,52885
