"TIV of arms exports from Germany, 1970-2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 09 December 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
Togo,0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Tunisia,,,,,,,,,,,,,,,,12,,,,,,,24,,,,,6,,,,,,,,168,,,,,,,,,,,,3,,,,213
Turkey,102,337,384,3,25,184,184,95,216,153,234,355,196,200,266,175,138,257,697,244,255,239,95,243,341,549,480,115,583,237,298,,,,21,602,330,404,287,167,126,40,28,12,48,12,,24,28,28,,10037
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,4,12,8,,,,24
UAE,,,,,,5,,,,,88,181,1,1,1,2,0,,,,164,76,,,1,6,15,19,17,16,9,9,9,4,5,4,46,4,4,6,32,8,,27,71,11,13,29,5,35,5,926
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
United Kingdom,,,,,,,,5,15,15,15,15,15,15,15,15,15,15,15,10,2,,8,,1,,,,,4,34,5,300,310,5,,,30,,2,2,,,,,,8,71,15,1,21,998
United Nations**,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,54
United States,,,,,,,,3,3,17,154,164,,,,,,,2,,4,117,10,73,5,,,,,18,,,,,,,17,52,135,156,161,176,200,176,112,183,77,89,75,123,53,2354
Unknown recipient(s),,,,,,,,,,,2,2,3,3,3,3,3,3,3,2,,,,4,4,4,,,,,,2,,,,,,,,,,,,,,,,,,,,42
Uruguay,,,,,,,,,,,7,6,,,,,,,,,,24,8,,,,,,,,,,9,,,17,,3,,,,,,,,,,,,,,73
Venezuela,,,,,,,163,163,3,,,,,4,,,,,,,,,5,,,5,,,,,,,8,,,,,,,8,8,32,8,,4,,,,,,8,417
Viet Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,6
Yugoslavia,,,,,,,2,2,4,4,2,,,,1,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
Zambia,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
Zimbabwe,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1561,1364,1377,227,1208,1446,1662,1893,1671,1466,1602,1902,1546,2270,2812,1288,1379,923,1398,1294,1862,2406,1491,1534,2885,1506,1945,944,1813,1873,1615,902,912,1665,1105,2054,2707,3273,2368,2462,2666,1311,750,791,1790,1763,2506,1944,1070,978,1232,84417
